model,accuracy,precision,recall,f1,roc_auc,cv_roc_auc_mean,cv_roc_auc_std
Gradient Boosting,0.872,0.7937743190661478,0.5012285012285013,0.6144578313253012,0.8696763018796918,0.863706407527617,0.009282809160987022
Random Forest,0.8335,0.5761316872427984,0.687960687960688,0.6270996640537514,0.8655018655018655,0.8578772235652166,0.012162293794395986
XGBoost,0.8005,0.506896551724138,0.7223587223587223,0.5957446808510638,0.8615086581188276,0.8592433858866813,0.011707797191681713
Decision Tree,0.762,0.4513399153737659,0.7862407862407862,0.5734767025089605,0.8411015021184512,0.8320901272259732,0.0077183436118506135
Logistic Regression,0.7125,0.3867924528301887,0.7051597051597052,0.4995648389904265,0.7758513521225386,0.7657477054058999,0.021056173061753548
